127.0.0.1, 2018-04-23 22:01:37, GET, /, HTTP/1.1, 303, 0.002600
127.0.0.1, 2018-04-23 22:01:38, GET, /welcome/default/index, HTTP/1.1, 200, 1.500682
127.0.0.1, 2018-04-23 22:01:38, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002016
127.0.0.1, 2018-04-23 22:01:38, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001305
127.0.0.1, 2018-04-23 22:01:38, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001264
127.0.0.1, 2018-04-23 22:01:39, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003022
127.0.0.1, 2018-04-23 22:01:39, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002414
127.0.0.1, 2018-04-23 22:01:39, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005177
127.0.0.1, 2018-04-23 22:01:39, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.021477
127.0.0.1, 2018-04-23 22:01:39, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.011714
127.0.0.1, 2018-04-23 22:01:39, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.036357
127.0.0.1, 2018-04-23 22:01:39, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.017535
127.0.0.1, 2018-04-23 22:01:40, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003080
127.0.0.1, 2018-04-23 22:01:40, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.017217
127.0.0.1, 2018-04-23 22:01:40, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.017947
127.0.0.1, 2018-04-23 22:01:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001430
127.0.0.1, 2018-04-23 22:51:53, GET, /, HTTP/1.1, 303, 0.002813
127.0.0.1, 2018-04-23 22:51:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.570380
127.0.0.1, 2018-04-23 22:51:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.009605
127.0.0.1, 2018-04-23 22:51:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001732
127.0.0.1, 2018-04-23 22:51:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.010229
127.0.0.1, 2018-04-23 22:51:55, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000982
127.0.0.1, 2018-04-23 22:51:55, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001068
127.0.0.1, 2018-04-23 22:51:55, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001759
127.0.0.1, 2018-04-23 22:52:06, GET, /start/default/index, HTTP/1.1, 200, 1.541194
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.014705
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.083215
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.099673
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.094848
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.126338
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.129947
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.123286
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.260029
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.187752
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.192192
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.030523
127.0.0.1, 2018-04-23 22:52:06, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.238131
127.0.0.1, 2018-04-23 22:52:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000792
127.0.0.1, 2018-04-23 22:52:13, GET, /start/default/user, HTTP/1.1, 303, 0.025037
127.0.0.1, 2018-04-23 22:52:13, GET, /start/default/user/login, HTTP/1.1, 200, 0.145400
127.0.0.1, 2018-04-23 22:52:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000407
127.0.0.1, 2018-04-23 22:52:29, POST, /start/default/user/login, HTTP/1.1, 303, 0.174859
127.0.0.1, 2018-04-23 22:52:29, GET, /start/default/user/login, HTTP/1.1, 200, 0.049816
127.0.0.1, 2018-04-23 22:52:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2018-04-23 22:52:32, GET, /start/default/user/register, HTTP/1.1, 200, 0.065257
127.0.0.1, 2018-04-23 22:52:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000616
127.0.0.1, 2018-04-23 22:52:46, POST, /start/default/user/register, HTTP/1.1, 303, 0.273942
127.0.0.1, 2018-04-23 22:52:46, GET, /start/default/index, HTTP/1.1, 200, 0.046330
127.0.0.1, 2018-04-23 22:52:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2018-04-23 22:52:51, GET, /start/default/add, HTTP/1.1, 200, 0.053661
127.0.0.1, 2018-04-23 22:52:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2018-04-23 22:52:57, POST, /start/default/add, HTTP/1.1, 303, 0.071138
127.0.0.1, 2018-04-23 22:52:57, GET, /start/default/index, HTTP/1.1, 200, 0.094112
127.0.0.1, 2018-04-23 22:52:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000620
127.0.0.1, 2018-04-23 22:53:06, GET, /start/default/delete/1, HTTP/1.1, 303, 0.085665
127.0.0.1, 2018-04-23 22:53:06, GET, /start/default/index, HTTP/1.1, 200, 0.027642
127.0.0.1, 2018-04-23 22:53:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001186
127.0.0.1, 2018-04-23 22:53:08, GET, /start/default/add, HTTP/1.1, 200, 0.103022
127.0.0.1, 2018-04-23 22:53:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001061
127.0.0.1, 2018-04-23 22:53:19, POST, /start/default/add, HTTP/1.1, 200, 0.098091
127.0.0.1, 2018-04-23 22:53:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000341
127.0.0.1, 2018-04-23 22:53:28, POST, /start/default/add, HTTP/1.1, 303, 0.329839
127.0.0.1, 2018-04-23 22:53:28, GET, /start/default/index, HTTP/1.1, 200, 0.079648
127.0.0.1, 2018-04-23 22:53:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2018-04-23 22:53:30, GET, /start/default/delete/2, HTTP/1.1, 303, 0.056653
127.0.0.1, 2018-04-23 22:53:30, GET, /start/default/index, HTTP/1.1, 200, 0.050406
127.0.0.1, 2018-04-23 22:53:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
